track_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,popularity
Rapper's Delight - Long Version,The Sugarhill Gang,"['east coast hip hop', 'funk', 'new jersey rap', 'old school hip hop']",0.847,0.828,-8.51,0.296,0.385,0.393,0.884,111.045,873733,0
The Sound of Silence - Electric Version,Simon & Garfunkel,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",0.44,0.466,-9.712,0.0284,0.17,0.118,0.543,107.744,185253,0
Fortunate Son,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",0.64,0.663,-7.516,0.0374,0.201,0.152,0.663,132.77,140773,0
Papa's Got A Brand New Bag,James Brown,"['funk', 'soul']",0.738,0.541,-9.508,0.09,0.292,0.0861,0.925,127.942,128173,0
Bridge Over Troubled Water,Simon & Garfunkel,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",0.149,0.206,-13.888,0.0323,0.822,0.115,0.264,79.764,293120,0
"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,"['reggae', 'roots reggae']",0.655,0.675,-9.352,0.0599,0.272,0.727,0.587,77.589,427800,0
Proud Mary,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",0.699,0.641,-7.564,0.0289,0.13,0.0601,0.728,120.745,187213,0
Every Breath You Take,The Police,"['album rock', 'classic rock', 'permanent wave', 'rock']",0.82,0.452,-9.796,0.0348,0.543,0.0714,0.74,117.401,253920,0
Maybellene,Chuck Berry,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",0.756,0.768,-10.701,0.112,0.735,0.182,0.783,118.208,143240,0
A Whiter Shade of Pale - Original Single Version,Procol Harum,"['album rock', 'art rock', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'folk rock', 'mellow gold', 'progressive rock', 'psychedelic rock', 'singer-songwriter', 'symphonic rock']",0.249,0.66,-6.904,0.0343,0.514,0.0891,0.427,149.822,248947,0
Midnight City,M83,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",0.526,0.712,-6.525,0.0356,0.0161,0.179,0.32,105.009,241440,0
Losing My Edge,LCD Soundsystem,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",0.769,0.959,-8.717,0.0634,0.000208,0.331,0.893,116.168,473067,0
I'm So Lonesome I Could Cry,Hank Williams,"['country', 'country rock', 'outlaw country']",0.678,0.218,-13.084,0.0288,0.874,0.125,0.652,110.964,168773,0
Eight Miles High,The Byrds,"['album rock', 'beatlesque', 'blues rock', 'british blues', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock']",0.365,0.77,-10.492,0.0764,0.21,0.503,0.37,130.603,214640,0
Born Slippy (Nuxx),Underworld,"['big beat', 'electronica']",0.576,0.953,-8.968,0.0362,0.00106,0.474,0.303,140.042,456480,0
Great Balls Of Fire,Jerry Lee Lewis,"['piano rock', 'rock-and-roll', 'rockabilly']",0.533,0.729,-7.227,0.0714,0.563,0.159,0.884,78.67,111536,0
Green Onions,Booker T. & the M.G.'s,"['blues', 'classic soul', 'instrumental funk', 'instrumental soul', 'memphis soul', 'soul', 'southern soul', 'traditional blues']",0.788,0.38,-15.179,0.0346,0.811,0.102,0.892,138.205,167385,0
Maps,Yeah Yeah Yeahs,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",0.502,0.941,-5.194,0.0716,0.000346,0.553,0.124,119.783,219987,0
Umbrella,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",0.583,0.829,-4.603,0.134,0.00864,0.0426,0.575,174.028,275987,0
She Loves You - Mono / Remastered,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.377,0.916,-3.199,0.0481,0.26,0.074,0.912,75.533,140920,0
Stayin Alive,Bee Gees,"['disco', 'soft rock']",0.702,0.773,-9.256,0.0343,0.0288,0.147,0.953,103.564,285373,0
Tangled up in Blue,Bob Dylan,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']",0.421,0.661,-13.126,0.0433,0.414,0.0962,0.554,100.965,341627,0
Maggie May,Rod Stewart,"['mellow gold', 'soft rock']",0.605,0.574,-10.536,0.0377,0.559,0.0684,0.543,129.449,350267,0
Will You Love Me Tomorrow,The Shirelles,"['adult standards', 'classic girl group', 'doo-wop', 'motown', 'rock-and-roll', 'soul']",0.527,0.308,-11.809,0.0284,0.551,0.0921,0.514,136.297,160865,0
Seasons (Waiting on You),Future Islands,"['alternative dance', 'art pop', 'baltimore indie', 'chamber pop', 'indie rock', 'indietronica', 'neo-synthpop', 'shimmer pop']",0.498,0.721,-5.232,0.0282,0.136,0.0933,0.589,140.022,226440,0
